Rank,Severity,Category,Finding,Location,Priority,Fix
R1,MEDIUM,Regression,"Past-start guard rejects duration-only edits of an in-progress booking, stricter than the server",useAppStore.ts:746,Fix first,Mirror server: only reject past start if start time is moved into the past.
U1,MEDIUM,User-facing,No-shows and unprocessed past bookings stay under Upcoming with live Call to cancel because markBookingNoShow never changes status,bookings.tsx:35,User-facing cluster,Split bookings filter by time and noShow; show Call to cancel only on genuinely future confirmed bookings.
U2,MEDIUM,User-facing,"Delete-account failure sets an error banner behind the still-open modal, so the user sees nothing",profile.tsx:82,User-facing cluster,Render delete failure inside the modal while it remains open.
U3,MEDIUM,Privacy / shared device,"logout/deleteAccount do not clear notifications, loyaltyTransactions, or auditLogs, so next account can see prior account data",useAppStore.ts:436,User-facing cluster,"Clear notifications, loyaltyTransactions, and auditLogs in both logout and deleteAccount resets."
S2,MEDIUM,Push / shared device,"Shared-device push token: B's onConflict token upsert hits A's row, RLS blocks it, so pushes keep routing to A",push-readiness.sql:34,Lower-priority polish,Add SECURITY DEFINER token reassignment RPC and deactivate token on signout.
S3,MEDIUM,Export security,CSV formula injection: csvEscape does not neutralize = + - @ leading chars; user names/reasons flow into admin exports,csvExport.ts:8,Cheap hardening,Prefix formula-leading cells with apostrophe before CSV escaping.
R2,LOW,Regression,"If second reminder write fails after reschedule reorder, refresh restores old notification id and new reminder can be orphaned/fires",useAppStore.ts:795,Lower-priority polish,Make reminder update transactional/best-effort with cleanup or persist new id reliably after scheduling.
S4,LOW,Security hardening,"mark_schema_migration is SECURITY DEFINER but executable by any authenticated user, allowing forged Admin Health migration status",schema-migrations.sql:24,Cheap hardening,"REVOKE EXECUTE on public.mark_schema_migration from public, anon, authenticated."
S8,LOW,Product consistency,"MAX_DURATION_HOURS=3 and rule says up to 3h, but ALLOWED_DURATIONS tops at 2h, so advertised 3h booking is unreachable",prices.ts:47,Lower-priority polish,Either add 3h to ALLOWED_DURATIONS or change copy/rules to say 2h max selectable.
U4,LOW,User-facing,Placeholder-user fallback in bookings filter can show a stray row when logged out,bookings.tsx:29,Cheap hardening,Remove placeholder-user fallback; require current user id for filtering.
U5,LOW,User-facing,Tapping an already-read notification rewrites it and resets readAt,notifications.tsx:55,Cheap hardening,Guard markRead so it only updates unread notifications.
U6,LOW,Navigation,router.back() with no canGoBack fallback dead-ends on deep-link entry,notifications.tsx:23; rules.tsx:19,Cheap hardening,Use router.canGoBack() ? router.back() : router.replace(default route).
U7,LOW,UI consistency,"Free-reward label disagrees between receipt and card: receipt checks isFree && total===0, card checks isFree",booking-detail.tsx:26 vs BookingCard.tsx:125,Lower-priority polish,Use one shared condition/copy for reward bookings.
S5,LOW,RLS hardening,"Notification UPDATE policy has no column restriction, so user can rewrite own notification title/message",operations-upgrades.sql:60,Lower-priority polish,"Restrict user updates to read_at only, likely via trigger or RPC."
S6,LOW,Loyalty consistency,Client counts completed regardless of time while server uses end_time < now(),loyalty.ts:117,Lower-priority polish,Align client completion counting with server end_time < now() rule.
S7,LOW,Push delivery,sendExpoPush does not chunk payloads for Expo 100-message cap,notificationService.ts:98,Lower-priority polish,Chunk Expo push messages in batches of 100.
